ano_publicacao_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;2;1536532;"CIRCUITO PACIENTE P/EQUIPAMENTOS MED./HOSP. - IDENTIFICACAO: CIRCUITO COMPLETO REUTILIZAVEL ADULTO; EQUIPAMENTO: APARELHO DE ANESTESIA; MARCA/MODELO: DRAGER/FABIUS GS PREMIUM; REFERENCIA: M30146;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;4157,5;8315,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;2;1918044;"ADAPTADOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: ADAPTADOR (CUVETE) VIAS AEREAS ADULT/PED ETCO2 REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR / MONITOR MULTIPARAMETRO; MARCA/MODELO: DRAGER / VENTILADORES LINHA V, MONITORES; REFERENCIA: 6870279;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1691,71;16917,1
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;3;1536532;"CIRCUITO PACIENTE P/EQUIPAMENTOS MED./HOSP. - IDENTIFICACAO: CIRCUITO COMPLETO REUTILIZAVEL ADULTO; EQUIPAMENTO: APARELHO DE ANESTESIA; MARCA/MODELO: DRAGER/FABIUS GS PREMIUM; REFERENCIA: M30146;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;4157,5;41575,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;3;1918087;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE FLUXO NEONATAL, REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DRAGER / EVITA LINHA V600; REFERENCIA: 8410179;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2193,9;26326,8
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;4;1069934;"CIRCUITO PACIENTE P/EQUIPAMENTOS MED./HOSP. - IDENTIFICACAO: ADULTO, TRAQUEIA E MANGUEIRA DE FLUXO, EM SILICONE; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000-3000; REFERENCIA: 8412068;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2978,22;5956,44
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;4;1918087;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE FLUXO NEONATAL, REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DRAGER / EVITA LINHA V600; REFERENCIA: 8410179;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2193,9;17551,2
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;5;1430050;"CIRCUITO PACIENTE P/EQUIPAMENTOS MED./HOSP. - IDENTIFICACAO: CIRCUITO PACIENTE PEDIATRICO EM SILICONE; EQUIPAMENTO: APARELHO DE ANESTESIA; MARCA/MODELO: DRAGER/ FABIUS GS PREMIUM; REFERENCIA: M27542;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;2;5274,73;63296,76
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;6;1069934;"CIRCUITO PACIENTE P/EQUIPAMENTOS MED./HOSP. - IDENTIFICACAO: ADULTO, TRAQUEIA E MANGUEIRA DE FLUXO, EM SILICONE; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000-3000; REFERENCIA: 8412068;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2978,22;53607,96
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;6;1069942;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE FLUXO; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000/3000; REFERENCIA: 8412034;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1581,5;3163,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;7;1069942;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE FLUXO; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000/3000; REFERENCIA: 8412034;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1581,5;20559,5
